nvl_id,nvl_descripcion,nvl_tipo,cri_id
41,"A1 Declara intención, pero no Realiza Acciones Especificas. Intenta tener un impacto o efecto específico; expresa preocupación por reputación, estatus y apariencias.
A2 Realiza una Acción Simple para Persuadir. No realiza intentos aparentes para adaptarse al interés o nivel de la audiencia. Usa la persuasión directa en una discusión o presentación (e.g. apela a razones, datos, propósitos mayores; usa ejemplos concretos, ayudas audiovisuales, demostraciones,etc.).",Inicial,11
42,"A3 Realiza una Acción con Dos Pasos para Persuadir. No realiza intentos aparentes para adaptarse al interés o nivel de la audiencia. Incluye preparación cuidadosa de datos a ser presentados, o la preparación de dos o más argumentos diferentes en una presentación o discusión.
A4 Calcula el Impacto de sus Acciones o Palabras. Adapta una presentación o discusión para atraer el interés y nivel de los otros. Anticipa el efecto de una acción u otro detalle en la imagen que la gente se formará del relator.",En Desarrollo,11
43,"A5 Calcula una Acción Dramática. Modela la conducta deseada de los demás o realiza una acción dramática bien pensada e inusual para tener un impacto específico.
A6 Realiza Dos Pasos para Influenciar. Con cada paso adaptado a la audiencia específica o planeado para tener un efecto específico o se anticipa y prepara para la reacción de los demás.",Ideal,11
44,"A7 Tres Acciones o Influencia Indirecta. Usa expertos o terceras personas para influenciar; o realiza tres acciones diferentes o realiza discusiones complejas, planeadas. Junta coaliciones políticas, construye apoyo desde bambalinas para sus ideas, deliberadamente proporciona o retiene información para tener efectos específicos, usa habilidades de procesos grupa les para dirigir o conducir a un grupo.
A8 Estrategias de Influencia Compleja. Usa estrategias de influencia complejas adaptadas a situaciones específicas (e.g. usando cadenas de influencia indirecta obtener que A le muestre a B de manera que B le diga a C tal y tal cosa), estructurando trabajos o situaciones o cambiando laestructura organizacional para fomentar conductas deseadas; usa maniobras políticas complejas para alcanzar una meta o tener un efecto.",Avanzado,11
45,"Coopera. Participa deseosamente, apoya las decisiones del equipo, es un ""buen jugador del equipo"", hace su parte del trabajo.
Comparte Información. Mantiene a la gente informada y al día acerca del proceso del grupo, comparte toda la información útil o relevante.",Inicial,12
46,"Expresa Expectativas Positivas. Expresa expectativas positivas de los demás. Se refiere a los miembros del equipo en términos positivos. Muestra respeto por la inteligencia de los demás, apelando a la razón.
Solicita Información. Valoriza genuinamente la información y experiencia de los otros, está deseoso de aprender de los demás, especialmente de subordinados. Solicita ideas y opiniones para ayudar a formar planes o decisiones específicas. Invita a todos los miembros del grupo a contribuir a un proceso.",En Desarrollo,12
47,"Da Autoridad a Otros. Da público crédito a otros cuando han rendido bien. Apoya y autoriza a otros, los hace sentir fuertes o importantes. Forma Equipo. Actúa para promover un clima amigable, buena moral, y cooperación (realiza fiestas y reuniones, crea símbolos de identidad grupal). Protege y promueve la reputación del grupo con extraños.",Ideal,12
48,"Resuelve Conflictos. Enfrenta los conflictos y anima o facilita una solución beneficiosa de los conflictos (debe involucrar acción para resolver el conflicto, no esconderlo o evitar el tema).",Avanzado,12
49,"Acepta Invitaciones. Acepta invitaciones u otras aperturas amistosas de otros, pero no extiende las invitaciones o sale de su vía para establecer relaciones laborales. 
Realiza Contactos Relacionados con el Trabajo. Mantiene relaciones laborales formales (en gran medida confinadas a materias relacionadas con el trabajo, no necesariamente formales en el tono, estilo o estructura). Incluye charlas inestructuradas acerca de materias relativas al trabajo.",Inicial,13
50,"Hace Contactos Ocasionales Informales. Ocasionalmente inicia relaciones informales o casuales en el trabajo, charlas sobre los niños, deportes, noticias, etc.
Construye Rapport. Frecuentemente inicia contactos informales o casuales en el trabajo con compañeros o clientes. Hace un esfuerzo consciente para establecer rapport.",En Desarrollo,13
51,"Hace Contactos Sociales Ocasionales. Ocasionalmente inicia o persigue relaciones amistosas, con asociados o clientes fuera del trabajo en clubes, restaurantes, etc.",Ideal,13
52,"Realiza Contactos Sociales Frecuentes. Frecuentemente inicia o prosigue relaciones amistosas con asociados o clientes fuera del trabajo en clubes, restaurantes, etc. 
Hace Contactos Familiares y Hogareños. Ocasionalmente invita a casa a asociados o clientes o va a sus casas. 
Hace Amistades Personales Cercanas. Frecuentemente entretiene a asociados o clientes en casa. Establece amistad personal con ellos o utiliza amistades personales para expandir la red del negocio.",Avanzado,13
53,"A1 Expresa Expectativas Positivas de los Demás. Hace comentarios positivos relativos a las habilidades o potencialidades de los demás aún en casos ""difíciles"". Cree que los demás desean y pueden aprender. 
A2 Da Instrucciones Detalladas y/o Demostraciones en Terreno. Dice cómo hacer el trabajo, hace sugerencias útiles específicas.",Inicial,14
54,"A3 Da Razones o Apoya a Otros. Da instrucciones o demostraciones con razones o racionales incluidas como estrategias de entrenamiento; o da apoyo práctico o ayuda para hacer más fácil el trabajo (e.g.entrega en forma voluntaria recursos adicionales, herramientas, información, ayuda experta). Hace preguntas, pruebas o usa otros métodos para verificar que los demás han entendido las explicaciones o instrucciones.
A4 Da Retroalimentación Específica Positiva o Mezclada con Propósitos de Desarrollar.
A5 Reasegura y Da Aliento. Reasegura a los otros luego de un traspié. Da retroalimentación negativa en términos conductuales más que personales, y expresa expectativas positivas para el desempeño futuro o de sugerencias individualizadas para mejoramiento; o descompone tareas difíciles en partes más pequeñas, o usa otras estrategias.",En Desarrollo,14
55,"A6 Hace Entrenamiento o Enseñanza de Largo Plazo. Diseña misiones apropiadas y de ayuda, entrenamiento formal, u otras experiencias con el propósito de fomentar el aprendizaje y desarrollo de la otra persona. Incluye hacer que la persona trabaje por sí misma, respuesta a problemas de manera que ellos realmente adquieran experiencia, en vez de simplemente darles la respuesta. Entrenamiento formal realizado simplemente para cumplir con requerimientos corporativos o gubernamentales no cuenta aquí.
A7 Crea Nuevo Entrenamiento/Enseñanza. Identifica una necesidad de entrenamiento o desarrollo y diseña o establece nuevos programas o materiales para alcanzarlos; diseña enfoques significativamente nuevos para enseñar materias tradicionales; o arregla experiencias exitosas para que otros desarrollen sus habilidades y confianza.",Ideal,14
56,"A8 Delega Completamente. Luego de evaluar las competencias de los subordinados, delega total autoridad y responsabilidad con la posibilidad de realizar una tarea a su manera, incluyendo la oportunidad de hacer y aprender de los errores en un ambiente no crítico.
A9 Recompensa Buen Desarrollo. Promueve o consigue promociones para subordinados, .especialmente competentes como recompensa o como experiencias de desarrollo; o da a los otros recompensas por buen desempeño. Esta conducta se puntúa alto porque, generalmente, un individuo tiene que haber desarrollado bien a la gente para ser capaz de recompensarlos por haber respondido bien.",Avanzado,14
57,"Administra Reuniones.
Confecciona agendas y objetivos, controla el tiempo, asigna tareas, etc. ",Inicial,15
58,"Informa a Personas. Permite saber qué sucede a las personas afectadas por una decisión. Asegura que el grupo tenga la información necesaria. Puede explicar las razones de una decisión.
Usa la Autoridad con Justicia. Usa el poder y la autoridad formal de una manera justa y equitativa.  Hace un esfuerzo personal para tratar con justicia a todos los miembros del grupo.",En Desarrollo,15
59,"Promueve la Efectividad del Equipo. Usa estrategias complejas para promover la moral y productividad del equipo (decisiones de contratos y despidos, asignaciones de tareas, entrenamiento cruzado, etc.)
Cuida al Grupo. Protege al grupo y su reputación respecto a la organización o la comunidad en su conjunto: obtiene el personal deseado, recursos, información para el grupo. Asegura que se alcancen las necesidades prácticas del grupo. Frecuentemente este nivel se encuentra en situaciones militares o industriales, pero también se aplica en la obtención de recursos menos tangibles para profesionales o gerenciales subordinados.",Ideal,15
60,"Se Posiciona Así mismo como Líder. Asegura que los otros asuman la misión, metas, agenda, clima, políticas, etc. ""Da un buen ejemplo"" (es decir, modela la conducta deseada). Asegura que las tareas del grupo se cumplan (es un líder creíble). /nComunica una Visión Obligada. Tiene genuino carisma, comunica una visión obligada, que genera excitación, entusiasmo, y compromiso a la misión del grupo. (ejemplo de este nivel son raros y es probable que se infieran del resultado de actividades, de reportes de otros, y de las observaciones e impresiones del entrevistador más que de citas directas.",Avanzado,15
61,"Identifica y diseña una solución, aplicando teoría de las ciencias de la computación y fundamentos de desarrollo de software; sin embargo, no soluciona el problema dado.",Inicial,16
62,"Identifica y diseña una solución, aplicando teoría de las ciencias de la computación y fundamentos de desarrollo de software; sin embargo, soluciona en parte el problema dado.",En Desarrollo,16
63,"Identifica y diseña una solución, aplicando teoría de las ciencias de la computación y fundamentos de desarrollo de software, alcanzando los resultados esperados según el problema dado.",Ideal,16
64,"Identifica y diseña una solución, aplicando teoría de las ciencias de la computación y fundamentos de desarrollo de software, alcanzando los resultados previstos con los menores recursos posibles.",Avanzado,16
65,Implementa la solución usando teoría de las ciencias de computación y fundamentos de desarrollo de software; sin embargo no está acorde al diseño propuesto,Inicial,17
66,Implementa la solución usando teoría de las ciencias de computación y fundamentos de desarrollo de software; sin embargo cumple en parte con el diseño propuesto,En Desarrollo,17
67,Implementa la solución usando teoría de las ciencias de computación y fundamentos de desarrollo de software; cumpliendo con todo el diseño propuesto,Ideal,17
68,"Implementa la solución usando teoría de las ciencias de computación y fundamentos de desarrollo de software; cumpliendo con todo el diseño propuesto, alcanzando los resultados previstos con los menores recursos posibles.",Avanzado,17
